word,data/austen-emma.txt,data/austen-persuasion.txt,data/austen-sense.txt
persuaded,0.5,0.23333333333333334,0.26666666666666666
persuading,0.45454545454545453,0.09090909090909091,0.45454545454545453
persuasion,0.36666666666666664,0.2,0.43333333333333335
pianoforte,0.625,0.0625,0.3125
picture,0.5128205128205128,0.20512820512820512,0.28205128205128205
pictures,0.4,0.4,0.2
piece,0.5909090909090909,0.18181818181818182,0.22727272727272727
pitiable,0.2857142857142857,0.14285714285714285,0.5714285714285714
pitied,0.2857142857142857,0.14285714285714285,0.5714285714285714
plague,0.5,0.25,0.25
pleasant,0.5757575757575758,0.19696969696969696,0.22727272727272727
pleasanter,0.3333333333333333,0.5,0.16666666666666666
pleasantest,0.6,0.2,0.2
pleasantly,0.5333333333333333,0.26666666666666666,0.2
please,0.6666666666666666,0.09803921568627451,0.23529411764705882
pleased,0.4639175257731959,0.20618556701030927,0.32989690721649484
pleasing,0.5116279069767442,0.23255813953488372,0.2558139534883721
pleasure,0.5229357798165137,0.1743119266055046,0.30275229357798167
pleasures,0.6428571428571429,0.21428571428571427,0.14285714285714285
poignant,0.5,0.25,0.25
pointedly,0.25,0.5,0.25
pointing,0.16666666666666666,0.6666666666666666,0.16666666666666666
polite,0.2,0.4,0.4
politeness,0.23076923076923078,0.23076923076923078,0.5384615384615384
portion,0.375,0.375,0.25
positive,0.26666666666666666,0.2,0.5333333333333333
positively,0.7692307692307693,0.07692307692307693,0.15384615384615385
possessed,0.3333333333333333,0.4444444444444444,0.2222222222222222
possession,0.22727272727272727,0.2727272727272727,0.5
possibility,0.42857142857142855,0.32142857142857145,0.25
possible,0.4659090909090909,0.2556818181818182,0.2784090909090909
powerful,0.5,0.4,0.1
practicable,0.42857142857142855,0.42857142857142855,0.14285714285714285
practice,0.3,0.3,0.4
practised,0.6,0.2,0.2
praise,0.5344827586206896,0.15517241379310345,0.3103448275862069
praised,0.625,0.25,0.125
praises,0.3333333333333333,0.3333333333333333,0.3333333333333333
precaution,0.25,0.25,0.5
preceded,0.3333333333333333,0.3333333333333333,0.3333333333333333
precious,0.47368421052631576,0.3157894736842105,0.21052631578947367
precisely,0.4666666666666667,0.4,0.13333333333333333
preferred,0.5882352941176471,0.29411764705882354,0.11764705882352941
prejudice,0.3333333333333333,0.3333333333333333,0.3333333333333333
