,data/austen-emma.txt,data/austen-persuasion.txt,data/austen-sense.txt
ankles,,,1.0
anna,1.0,,
annamaria,,,2.0
annamarias,,,1.0
anne,2.0,445.0,6.0
annebut,,1.0,
annei,,1.0,
annes,,50.0,
annexed,,1.0,1.0
annihilation,,,2.0
announce,6.0,2.0,5.0
announcebut,1.0,,
announced,5.0,4.0,4.0
announcing,4.0,,4.0
annoyance,1.0,,
annual,,1.0,
annuities,,,4.0
annuity,,,4.0
annum,,,1.0
another,107.0,65.0,75.0
anotherand,1.0,,1.0
anotherhow,1.0,,
anotheri,1.0,,
anotherit,1.0,,
anothers,1.0,1.0,2.0
anothersuch,,,1.0
anothervery,1.0,,
answer,63.0,31.0,33.0
answerable,,,2.0
answered,19.0,15.0,24.0
answeredand,1.0,,
answeredi,1.0,,
answeredmy,1.0,,
answering,5.0,,2.0
answernothing,1.0,,
answers,2.0,3.0,1.0
answeryou,1.0,,
ant,1.0,1.0,6.0
antagonist,1.0,,
anticipate,,1.0,1.0
anticipated,5.0,2.0,2.0
anticipatedwhich,1.0,,
anticipating,1.0,2.0,1.0
anticipation,4.0,1.0,1.0
anticipations,,,1.0
antidote,1.0,,
anxieties,,1.0,
anxiety,18.0,11.0,18.0
anxietyhe,1.0,,
anxious,31.0,17.0,29.0
anxiously,6.0,4.0,4.0
any,653.0,199.0,390.0
anybody,,19.0,10.0
anybodys,,2.0,1.0
anymore,,,1.0
anyone,,1.0,
anything,1.0,49.0,25.0
anywhere,16.0,9.0,
apace,,2.0,
apart,3.0,1.0,
apartment,2.0,2.0,4.0
apartments,1.0,2.0,2.0
apiece,1.0,,5.0
apologies,8.0,3.0,1.0
apologise,2.0,,
apologised,1.0,1.0,
apologising,,,3.0
apologize,,2.0,1.0
apologized,,,1.0
apology,5.0,5.0,10.0
apothecary,1.0,2.0,3.0
apparatus,1.0,,
apparent,10.0,7.0,2.0
apparently,4.0,6.0,4.0
appeal,2.0,4.0,1.0
appealed,2.0,2.0,
appear,33.0,13.0,24.0
appearance,30.0,24.0,28.0
appearances,4.0,2.0,2.0
appearbut,1.0,,
appeared,49.0,20.0,35.0
appeari,1.0,,
appearing,5.0,3.0,6.0
appears,13.0,2.0,
appearsi,,1.0,
appearthere,1.0,,
appease,1.0,,
appeased,2.0,1.0,1.0
appellation,1.0,,
appendages,1.0,,
appetite,2.0,,2.0
appetites,,,1.0
applauded,,,1.0
apple,3.0,,
appledumpling,1.0,,
appledumplings,1.0,,
apples,15.0,1.0,
appletart,1.0,,
appletarts,1.0,,
appletrees,1.0,,
applicant,,1.0,
applicantsbad,1.0,,
application,3.0,4.0,4.0
applications,3.0,4.0,
applied,3.0,5.0,3.0
apply,2.0,2.0,
applying,2.0,2.0,2.0
appointed,1.0,3.0,1.0
appointment,,5.0,4.0
appointments,1.0,,
appreciate,1.0,1.0,
appreciating,1.0,,
appreciation,,1.0,
apprehend,3.0,2.0,
apprehended,3.0,,1.0
apprehending,1.0,,
apprehension,7.0,2.0,2.0
apprehensions,,3.0,4.0
apprehensive,4.0,1.0,2.0
apprehensively,1.0,,
approach,6.0,5.0,4.0
approachable,,1.0,
approached,5.0,3.0,3.0
approaching,7.0,1.0,3.0
approachnew,1.0,,
approbation,21.0,,13.0
appropriate,,,1.0
appropriated,2.0,,
appropriation,1.0,,
approval,2.0,,
approve,5.0,1.0,8.0
approved,6.0,2.0,3.0
approver,1.0,,
approves,1.0,1.0,
approveso,1.0,,
approvesomething,1.0,,
approving,4.0,1.0,
apricot,,,1.0
april,3.0,,1.0
apt,7.0,3.0,
aptitude,,,1.0
arbour,,,2.0
arch,2.0,2.0,
archibald,,2.0,
archly,1.0,1.0,
